gameId,playId,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,defendersInTheBox,offenseFormation,PlayType,playDescription,playDirection
2021090900,97,1,3,2,TB,DAL,TB,33,13:33,0,0,6.0,SHOTGUN,Pass,(13:33) (Shotgun) T.Brady pass incomplete deep right to C.Godwin.,right
2021090900,137,1,1,10,DAL,TB,DAL,2,13:18,0,0,6.0,EMPTY,Pass,(13:18) (Shotgun) D.Prescott pass deep left to A.Cooper pushed ob at DAL 30 for 28 yards (A.Winfield).,left
2021090900,187,1,2,6,DAL,TB,DAL,34,12:23,0,0,6.0,SHOTGUN,Pass,(12:23) (Shotgun) D.Prescott pass short middle to D.Schultz to DAL 39 for 5 yards (D.White).,left
2021090900,282,1,1,10,DAL,TB,TB,39,09:56,0,0,6.0,SINGLEBACK,Pass,(9:56) D.Prescott pass incomplete deep left to C.Lamb.,left
2021090900,349,1,3,15,DAL,TB,TB,44,09:46,0,0,7.0,SHOTGUN,Pass,(9:46) (Shotgun) D.Prescott pass incomplete short left to C.Lamb [L.David].,left
2021090900,410,1,2,5,TB,DAL,TB,11,08:53,0,0,6.0,EMPTY,Pass,(8:53) (Shotgun) T.Brady pass short middle to M.Evans to TB 21 for 10 yards (T.Diggs).,right
2021090900,434,1,1,10,TB,DAL,TB,21,08:24,0,0,6.0,SHOTGUN,Pass,"(8:24) (No Huddle, Shotgun) T.Brady pass incomplete short left to M.Evans.",right
2021090900,456,1,2,10,TB,DAL,TB,21,08:20,0,0,6.0,SHOTGUN,Pass,(8:20) (Shotgun) T.Brady pass deep middle to R.Gronkowski to TB 40 for 19 yards (D.Kazee).,right
2021090900,480,1,1,10,TB,DAL,TB,40,07:53,0,0,6.0,SHOTGUN,Pass,"(7:53) (No Huddle, Shotgun) T.Brady pass deep right to A.Brown ran ob at DAL 32 for 28 yards (A.Brown).",right
2021090900,509,1,1,10,TB,DAL,DAL,32,07:30,0,0,6.0,SHOTGUN,Pass,"(7:30) (No Huddle, Shotgun) T.Brady pass short right to A.Brown pushed ob at DAL 16 for 16 yards (A.Brown; K.Neal).",right
2021090900,559,1,2,7,TB,DAL,DAL,13,06:13,0,0,7.0,SHOTGUN,Pass,(6:13) (Shotgun) T.Brady pass short right to C.Godwin to DAL 5 for 8 yards (A.Brown).,right
2021090900,583,1,1,5,TB,DAL,DAL,5,05:26,0,0,7.0,SHOTGUN,Pass,"(5:26) (Shotgun) T.Brady pass short middle to C.Godwin for 5 yards, TOUCHDOWN.",right
2021090900,687,1,2,2,DAL,TB,DAL,44,04:15,7,0,7.0,SHOTGUN,Pass,(4:15) (Shotgun) D.Prescott pass short right to M.Gallup to TB 44 for 12 yards (A.Winfield).,left
2021090900,735,1,2,3,DAL,TB,TB,37,02:45,7,0,6.0,SHOTGUN,Pass,(2:45) (Shotgun) D.Prescott pass short right to M.Gallup ran ob at TB 29 for 8 yards.,left
2021090900,764,1,1,10,DAL,TB,TB,29,02:22,7,0,6.0,SINGLEBACK,Pass,(2:22) (No Huddle) D.Prescott pass short right to B.Jarwin to TB 22 for 7 yards (C.Davis).,left
2021090900,788,1,2,3,DAL,TB,TB,22,01:43,7,0,6.0,SHOTGUN,Pass,"(1:43) (Shotgun) D.Prescott pass short left to C.Lamb for 22 yards, TOUCHDOWN [R.Nunez-Roches]. TB-S.Murphy-Bunting was injured during the play. His return is Questionable. ",left
2021090900,869,1,2,7,TB,DAL,TB,28,00:59,7,7,6.0,SINGLEBACK,Pass,"(:59) T.Brady pass deep middle to A.Brown to DAL 45 for 27 yards (J.Kearse). Penalty on DAL-T.Diggs, Illegal Use of Hands, declined.",right
2021090900,925,1,2,5,TB,DAL,DAL,40,00:11,7,7,7.0,SINGLEBACK,Pass,(:11) T.Brady pass incomplete short middle to L.Fournette (M.Parsons).,right
2021090900,947,1,3,5,TB,DAL,DAL,40,00:05,7,7,5.0,SHOTGUN,Pass,(:05) (Shotgun) T.Brady pass incomplete short middle to A.Brown (D.Kazee).,right
2021090900,1078,2,2,8,DAL,TB,DAL,7,14:21,7,7,5.0,SHOTGUN,Pass,"(14:21) (No Huddle, Shotgun) D.Prescott pass short middle to T.Pollard to DAL 12 for 5 yards (D.White).",right
2021090900,1203,2,2,8,TB,DAL,DAL,48,12:07,7,7,6.0,SHOTGUN,Pass,(12:07) (Shotgun) T.Brady pass short middle to R.Gronkowski to DAL 43 for 5 yards (D.Lawrence).,left
